"Feature","ClimateZone","W_Statistic","P_Value","Adj_P"
"largest_sylls_freq_range_Hz","Cwb: Subtropical Highland Climate or Temperate Oceanic Climate with Dry Winters",16799,0.00109136732838537,0.00793721693371179
"smallest_sylls_freq_range_Hz","Cfb: Temperate Oceanic Climate",14097,0.290215477463382,0.48369246243897
"smallest_sylls_freq_range_Hz","Dfb: Humid Continental Mild Summer, Wet All Year",42087,0.922931227550669,0.95888958706563
"smallest_sylls_freq_range_Hz","Dfa: Humid Continental Hot Summers with Year-round Precipitation",6586.5,0.0963867550821117,0.233664860805119
"smallest_sylls_freq_range_Hz","Dsb: Humid Continental Climate - Dry Cool Summer",49667,0.00145188662865069,0.00967924419100462
"smallest_sylls_freq_range_Hz","Csb: Warm-Summer Mediterranean Climate",181090.5,0.37449290873172,0.565272315066747
"smallest_sylls_freq_range_Hz","Csa: Hot-Summer Mediterranean Climate",57615,0.501121486986884,0.646608370305656
"smallest_sylls_freq_range_Hz","BSk: Cold Semi-Arid Climate",190496,0.0442773647991212,0.131192191997396
"smallest_sylls_freq_range_Hz","BWk: Cold Desert Climate",11751,0.25024914239616,0.454998440720291
"smallest_sylls_freq_range_Hz","BSh: Hot Semi-Arid Climate",12497,0.316607489652948,0.516910187188487
"smallest_sylls_freq_range_Hz","Cwb: Subtropical Highland Climate or Temperate Oceanic Climate with Dry Winters",12885.5,0.527398059815465,0.669711821987892
"avg_sylls_freq_range_Hz","Cfb: Temperate Oceanic Climate",12901,0.786606102939096,0.886316735706024
"avg_sylls_freq_range_Hz","Dfb: Humid Continental Mild Summer, Wet All Year",42328.5,0.855952639719505,0.938030290103567
"avg_sylls_freq_range_Hz","Dfa: Humid Continental Hot Summers with Year-round Precipitation",6441,0.0754688261807471,0.194758261111605
"avg_sylls_freq_range_Hz","Dsb: Humid Continental Climate - Dry Cool Summer",50064.5,0.000882935479700154,0.00706348383760123
"avg_sylls_freq_range_Hz","Csb: Warm-Summer Mediterranean Climate",162331,0.0419633008776418,0.129117848854283
"avg_sylls_freq_range_Hz","Csa: Hot-Summer Mediterranean Climate",54541,0.798793289334676,0.887548099260752
"avg_sylls_freq_range_Hz","BSk: Cold Semi-Arid Climate",204846,0.984816515303572,0.984816515303572
"avg_sylls_freq_range_Hz","BWk: Cold Desert Climate",11720.5,0.242458620599633,0.45108580576676
"avg_sylls_freq_range_Hz","BSh: Hot Semi-Arid Climate",14224,0.948021083723112,0.960021350605683
"avg_sylls_freq_range_Hz","Cwb: Subtropical Highland Climate or Temperate Oceanic Climate with Dry Winters",15360.5,0.0215880402635945,0.0863521610543779
